Date-hour in,traffic_site,urban_site
01/01/2019 00:00:00,4.98898814531849,2.55323513371909
02/01/2019 00:00:00,3.42253492604592,1.55622607730934
03/01/2019 00:00:00,2.67506499076435,1.68635511757375
04/01/2019 00:00:00,3.42552223044561,1.97548631953393
05/01/2019 00:00:00,5.31480909108289,1.11924536797087
06/01/2019 00:00:00,3.13949500437943,1.62656669999897
07/01/2019 00:00:00,0,2.22685564636695
08/01/2019 00:00:00,0,2.4696380137646
09/01/2019 00:00:00,0,3.72735535650666
10/01/2019 00:00:00,0,1.53505610127377
11/01/2019 00:00:00,0,2.51115189477121
12/01/2019 00:00:00,0,0
